1629732,Van,915.2,NULL,"3M (NEW ULM, MN)",20120509,2130,20120509,2330,29,NULL,NULL,"3M (ABERDEEN, SD)",20120510,2350,20120510,2550,8,NULL,NULL
1630457,Flatbed,1009.1,NULL,"3M (ABERDEEN, SD)",20120509,1515,20120509,1715,14,NULL,NULL,"3M MDC (DE KALB, IL)",20120511,2350,20120511,2550,18,NULL,NULL
1630372,Van,1081.3,NULL,"3M (BROOKINGS, SD)",20120509,1200,20120509,1400,17,NULL,NULL,"3M (FOREST CITY, IA)",20120509,1800,20120509,2000,48,NULL,NULL
1630273,Reefer,890.1,NULL,"3M (BROOKINGS, SD)",20120509,1000,20120509,1200,38,NULL,NULL,"3M (FOREST CITY, IA)",20120509,1700,20120509,1900,31,NULL,NULL
1630274,Reefer,1011.8,NULL,"3M (BROOKINGS, SD)",20120509,1130,20120509,1330,35,NULL,NULL,"3M (FOREST CITY, IA)",20120509,2000,20120509,2200,37,NULL,NULL
1630373,Van,944.4,NULL,"3M (BROOKINGS, SD)",20120509,1430,20120509,1630,2,NULL,NULL,"3M (FOREST CITY, IA)",20120509,2200,20120509,2400,24,NULL,NULL
1630456,Van,916.4,NULL,"3M (ABERDEEN, SD)",20120509,1800,20120509,2000,26,NULL,NULL,"3M BUILDING 427 (SAINT PAUL, MN)",20120510,2350,20120510,2550,12,NULL,NULL
1627108,Van,1067.2,NULL,"3M (ABERDEEN, SD)",20120509,815,20120509,1015,45,NULL,NULL,"3M MDC (DE KALB, IL)",20120511,2350,20120511,2550,43,NULL,NULL
1627725,Van,976.5,NULL,"3M (ABERDEEN, SD)",20120509,1530,20120509,1730,44,NULL,NULL,"3M MDC (DE KALB, IL)",20120511,1200,20120511,1400,13,NULL,NULL
1630236,Reefer,1013.1,NULL,"3M (ABERDEEN, SD)",20120509,1115,20120509,1315,8,NULL,NULL,"3M MDC (DE KALB, IL)",20120510,2350,20120510,2550,41,NULL,NULL
1627726,Van,1000.8,NULL,"3M (ABERDEEN, SD)",20120509,1100,20120509,1300,13,NULL,NULL,"3M MDC (DE KALB, IL)",20120511,1200,20120511,1400,2,NULL,NULL
1630458,Van,926.1,NULL,"3M (BROOKINGS, SD)",20120509,1930,20120509,2130,32,NULL,NULL,"BRADY COATED PRODUCTS (GLENDALE, WI)",20120510,1500,20120510,1700,49,NULL,NULL
1629819,Van,1072,NULL,"3M (BROOKINGS, SD)",20120509,1200,20120509,1400,44,NULL,NULL,"3M (BROOKINGS, SD)",20120509,2330,20120509,2530,24,NULL,NULL
1629469,Flatbed,1078.3,NULL,"GRAPHIC PACKAGING CORP (MITCHELL, SD)",20120509,845,20120509,1045,24,NULL,NULL,"KRAFT FOODS (CHAMPAIGN, IL)",20120510,900,20120510,1100,6,NULL,NULL
1626893,Reefer,1041.8,NULL,"GRAPHIC PACKAGING CORP (MITCHELL, SD)",20120509,900,20120509,1100,5,NULL,NULL,"OSCAR MAYER (MADISON, WI)",20120510,1400,20120510,1600,45,NULL,NULL
1628255,Flatbed,828.1,NULL,"LAKEVILLE MOTOR EXPRESS (JANESVILLE, WI)",20120509,2345,20120509,2545,49,NULL,NULL,"LAKEVILLE MOTOR EXPRESS (FARGO, ND)",20120510,700,20120510,900,34,NULL,NULL
1628291,Van,991.1,NULL,"LAKEVILLE MOTOR EXPRESS (JANESVILLE, WI)",20120509,2030,20120509,2230,38,NULL,NULL,"LAKEVILLE MOTOR EXPRESS (SIOUX FALLS, SD)",20120510,700,20120510,900,2,NULL,NULL
1630504,Van,1059,NULL,"APPLETON PAPERS INC (WEST CARROLL, OH)",20120509,1100,20120509,1300,23,NULL,NULL,"APPLETON PAPERS (KANSAS CITY, KS)",20120511,700,20120511,900,29,NULL,NULL
